date,igpm_acc
2004-06-21,38.66191226
2004-06-22,38.72527511
2004-06-23,38.78866691
2004-06-24,38.85208768
2004-06-25,38.91553743
2004-06-28,38.97901617
2004-06-29,39.04252392
2004-06-30,39.1060607
2004-07-01,39.16642234
2004-07-02,39.22681018
2004-07-05,39.28722422
2004-07-06,39.34766448
2004-07-07,39.40813097
2004-07-08,39.46862369
2004-07-12,39.52914266
2004-07-13,39.58968789
2004-07-14,39.6502594
2004-07-15,39.71085719
2004-07-16,39.77148127
2004-07-19,39.83213166
2004-07-20,39.89280837
2004-07-21,39.9535114
2004-07-22,40.01424078
2004-07-23,40.07499651
2004-07-26,40.1357786
2004-07-27,40.19658707
2004-07-28,40.25742192
2004-07-29,40.31828317
2004-07-30,40.37917084
2004-08-02,40.43592441
2004-08-03,40.49270092
2004-08-04,40.54950039
2004-08-05,40.60632283
2004-08-06,40.66316823
2004-08-09,40.72003662
2004-08-10,40.776928
2004-08-11,40.83384238
2004-08-12,40.89077977
2004-08-13,40.94774018
2004-08-16,41.00472362
2004-08-17,41.06173009
2004-08-18,41.11875961
2004-08-19,41.17581219
2004-08-20,41.23288783
2004-08-23,41.28998655
2004-08-24,41.34710836
2004-08-25,41.40425325
2004-08-26,41.46142125
2004-08-27,41.51861236
2004-08-30,41.5758266
2004-08-31,41.63306396
2004-09-01,41.66553142
2004-09-02,41.69800631
2004-09-03,41.73048865
2004-09-06,41.76297844
2004-09-08,41.79547568
2004-09-09,41.82798036
2004-09-10,41.8604925
2004-09-13,41.89301209
2004-09-14,41.92553913
2004-09-15,41.95807363
2004-09-16,41.99061559
2004-09-17,42.02316501
2004-09-20,42.05572189
2004-09-21,42.08828623
2004-09-22,42.12085804
2004-09-23,42.15343731
2004-09-24,42.18602405
2004-09-27,42.21861826
2004-09-28,42.25121995
2004-09-29,42.28382911
2004-09-30,42.31644574
2004-10-01,42.33491209
2004-10-04,42.35338084
2004-10-05,42.37185198
2004-10-06,42.39032553
2004-10-07,42.40880146
2004-10-08,42.4272798
2004-10-11,42.44576053
2004-10-13,42.46424367
2004-10-14,42.4827292
2004-10-15,42.50121712
2004-10-18,42.51970745
2004-10-19,42.53820018
2004-10-20,42.5566953
2004-10-21,42.57519283
2004-10-22,42.59369276
2004-10-25,42.61219508
2004-10-26,42.63069981
